RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-07-22;ITSA4;BRITSAACNPR7;ITSA;79716070;9,4308961;1;751793976,65
2020-07-22;ITUB3;BRITUBACNOR4;ITUB;2546610;24,9906779;1;63641510,25
2020-07-22;ITUB4;BRITUBACNPR1;ITUB;69129055;26,5728406;1;1836955361,05
2020-07-22;IVVB11;BRIVVBCTF001;IVVB;670188;179,9752115;1;120617227,1
2020-07-22;JBDU3;BRJBDUACNOR6;JBDU;35;3,66;1;128,1
2020-07-22;JBDU4;BRJBDUACNPR3;JBDU;131;1,6580916;1;217,21
2020-07-22;JBSS3;BRJBSSACNOR8;JBSS;15299165;21,5211607;1;329255789,4
2020-07-22;JFEN3;BRJFENACNOR0;JFEN;9573;4,6384257;1;44403,65
2020-07-22;JHSF3;BRJHSFACNOR2;JHSF;10347467;8,7497303;1;90537546,41
2020-07-22;JPMC34;BRJPMCBDR009;JPMC;7;265,66;1;1859,62
2020-07-22;JPSA3;BRJPSAACNOR6;JPSA;155065;25,0414893;1;3883058,54
2020-07-22;JSLG3;BRJSLGACNOR2;JSLG;1225686;23,8666671;1;29253039,77
2020-07-22;KEPL3;BRKEPLACNOR1;KEPL;116547;32,5983719;1;3799242,46
2020-07-22;KLBN11;BRKLBNCDAM18;KLBN;27668542;20,5243212;1;567878044,02
2020-07-22;KLBN3;BRKLBNACNOR2;KLBN;16899;4,1833339;1;70694,16
2020-07-22;KLBN4;BRKLBNACNPR9;KLBN;3883622;3,9822223;1;15465446,33
2020-07-22;LAME3;BRLAMEACNOR9;LAME;6916963;28,1675526;1;194833919,49
2020-07-22;LAME4;BRLAMEACNPR6;LAME;18961604;32,9019958;1;623874615,35
2020-07-22;LCAM3;BRLCAMACNOR3;LCAM;12022309;16,6021531;1;199596215,32
2020-07-22;LEVE3;BRLEVEACNOR2;LEVE;3214717;18,6822439;1;60058127,37
2020-07-22;LIGT3;BRLIGTACNOR2;LIGT;14697833;17,0888648;1;251169282,26
2020-07-22;LINX3;BRLINXACNOR0;LINX;9713708;25,159203;1;244389152,38
2020-07-22;LLIS3;BRLLISACNOR4;LLIS;383789;6,4510507;1;2475842,32
2020-07-22;LOGG3;BRLOGGACNOR7;LOGG;1304134;29,3624382;1;38292554,1
2020-07-22;LOGN3;BRLOGNACNOR3;LOGN;2612515;15,6430194;1;40867622,84
2020-07-22;LPSB3;BRLPSBACNOR0;LPSB;638913;4,4494178;1;2842790,91
2020-07-22;LREN3;BRLRENACNOR1;LREN;11353048;41,8580796;1;475216787,33
2020-07-22;LUPA3;BRLUPAACNOR8;LUPA;312458;2,2308812;1;697056,7
2020-07-22;LWSA3;BRLWSAACNOR8;LWSA;217068;45,6663495;1;9912703,17
2020-07-22;MATB11;BRMATBCTF001;MATB;232;33,8527155;1;7853,83
2020-07-22;MCDC34;BRMCDCBDR000;MCDC;2;256,71;1;513,42
2020-07-22;MDIA3;BRMDIAACNOR7;MDIA;5095900;39,7892574;1;202762076,92
2020-07-22;MDNE3;BRMDNEACNOR9;MDNE;163671;10,9268741;1;1788412,42
2020-07-22;MEAL3;BRMEALACNOR9;MEAL;19759830;4,9588653;1;97986335,92
2020-07-22;MERC4;BRMERCACNPR9;MERC;105;9,5913333;1;1007,09
2020-07-22;MGEL4;BRMGELACNPR3;MGEL;20;7,11;1;142,2
2020-07-22;MGLU3;BRMGLUACNOR2;MGLU;19590595;72,6109687;1;1422492080,83
2020-07-22;MILS3;BRMILSACNOR2;MILS;4977924;7,0073574;1;34882092,85
2020-07-22;MMXM3;BRMMXMACNOR2;MMXM;1076;1,9667565;1;2116,23
2020-07-22;MNPR3;BRMNPRACNOR5;MNPR;2695;6,6602523;1;17949,38
2020-07-22;MOVI3;BRMOVIACNOR0;MOVI;8811584;13,5125809;1;119067241,85
2020-07-22;MRFG3;BRMRFGACNOR0;MRFG;36981489;13,3000549;1;491855836,24
2020-07-22;MRVE3;BRMRVEACNOR2;MRVE;31201223;19,4946716;1;608257598,3
2020-07-22;MSFT34;BRMSFTBDR005;MSFT;51;1096,32;1;55912,32
2020-07-22;MTRE3;BRMTREACNOR6;MTRE;2375437;16,4953409;1;39183643,27
2020-07-22;MTSA4;BRMTSAACNPR9;MTSA;86;16,9201162;1;1455,13
2020-07-22;MULT3;BRMULTACNOR5;MULT;13586616;22,1321848;1;300701496,76
2020-07-22;MWET4;BRMWETACNPR3;MWET;3892;6,4321891;1;25034,08
2020-07-22;MYPK3;BRMYPKACNOR7;MYPK;13995451;14,0885311;1;197175347,06
2020-07-22;NEOE3;BRNEOEACNOR3;NEOE;6318061;19,6615998;1;124223187,13
2020-07-22;NTCO3;BRNTCOACNOR5;NTCO;26022132;40,6747136;1;1058442768,21
2020-07-22;NUTR3;BRNUTRACNOR0;NUTR;100;81;1;8100
2020-07-22;ODPV3;BRODPVACNOR4;ODPV;9922604;14,4391545;1;143274012,7
2020-07-22;OFSA3;BROFSAACNOR7;OFSA;2476;29,7360783;1;73626,53
2020-07-22;OIBR3;BROIBRACNOR1;OIBR;108760237;1,1984316;1;130341713,44
2020-07-22;OIBR4;BROIBRACNPR8;OIBR;9676687;1,4967895;1;14483963,56
2020-07-22;OMGE3;BROMGEACNOR0;OMGE;2150463;35,8781875;1;77154714,74
2020-07-22;OSXB3;BROSXBACNOR8;OSXB;9;4,4244444;1;39,82
2020-07-22;PARD3;BRPARDACNOR1;PARD;1651719;22,3401411;1;36899635,56
2020-07-22;PCAR3;BRPCARACNOR3;PCAR;5724904;69,3690891;1;397131375,95
2020-07-22;PDGR3;BRPDGRACNOR8;PDGR;163329;5,1772481;1;845594,76
2020-07-22;PDTC3;BRPDTCACNOR3;PDTC;28710;6,6522431;1;190985,9
2020-07-22;PETR3;BRPETRACNOR9;PETR;14830089;21,4932892;1;318747392,22
