RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-08-06;GFSA3;BRGFSAACNOR3;GFSA;62;637765;3781946,45;1,2000%;4,5600%;6,1300%;2,1600%;8,6900%;10,8000%
2020-08-06;GGBR3;BRGGBRACNOR1;GGBR;14;36483;567310,65;0,1900%;0,2800%;0,5300%;0,3500%;0,7000%;1,5000%
2020-08-06;GGBR4;BRGGBRACNPR8;GGBR;220;3343517;61955370,01;0,0500%;0,2300%;0,2800%;0,1000%;0,4100%;1,4500%
2020-08-06;GNDI3;BRGNDIACNOR2;GNDI;44;296952;20210553,12;0,0600%;0,1200%;0,1700%;0,1200%;0,2300%;0,9000%
2020-08-06;GOAU3;BRGOAUACNOR1;GOAU;8;4911;37127,16;0,4400%;1,3100%;1,4000%;0,7800%;2,9400%;3,3000%
2020-08-06;GOAU4;BRGOAUACNPR8;GOAU;117;1785189;15138402,72;0,0300%;0,0600%;0,2500%;0,0500%;0,1600%;15,0000%
2020-08-06;GOGL34;BRGOGLBDR001;GOGL;1;80;25122,4;3,6000%;3,6000%;3,6000%;6,0000%;6,0000%;6,0000%
2020-08-06;GOLL4;BRGOLLACNPR4;GOLL;54;739918;13192737,94;1,5000%;3,1200%;4,3000%;3,0200%;3,6800%;5,9000%
2020-08-06;GOVE11;BRGOVECTF004;GOVE;1;1;45,37;1,1000%;1,1000%;1,1000%;1,3800%;1,3800%;1,3800%
2020-08-06;GRND3;BRGRNDACNOR3;GRND;31;382915;2883349,95;0,0200%;0,1600%;0,2400%;0,1500%;0,5500%;2,0000%
2020-08-06;GSHP3;BRGSHPACNOR7;GSHP;2;387;19400,31;0,6000%;0,6000%;0,6000%;0,6500%;0,6500%;0,6500%
2020-08-06;GUAR3;BRGUARACNOR4;GUAR;22;284276;5023156,92;0,2100%;0,3400%;0,4800%;0,3200%;0,4600%;0,9600%
2020-08-06;HAGA4;BRHAGAACNPR4;HAGA;1;9876;17875,56;2,5500%;2,5500%;2,5500%;4,2500%;4,2500%;4,2500%
2020-08-06;HAPV3;BRHAPVACNOR4;HAPV;53;1014419;66535742,21;0,1000%;0,2000%;0,2400%;0,1000%;0,2400%;1,5000%
2020-08-06;HBOR3;BRHBORACNOR3;HBOR;45;1315042;3721568,86;0,4100%;0,8200%;2,0000%;0,7200%;2,0400%;4,1800%
